,opening_gross,screens,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
768,16300155.0,2331.0,20000000.0,71232214.0,2003.0,1.85,117.0,1293.0,20000000.0,7.1
769,26414386.0,2956.0,90000000.0,191200000.0,2000.0,1.85,119.0,2356.0,95000000.0,5.7
770,2017981.0,765.0,16000000.0,14839383.0,2002.0,1.85,112.0,12766.0,16000000.0,6.6
771,11112632.0,2840.0,75000000.0,50409753.0,2003.0,2.35,116.0,14028.0,75000000.0,5.3
772,5106919.0,2013.0,60000000.0,12069719.0,1998.0,2.35,114.0,2367.0,60000000.0,4.9
773,13880771.0,3047.0,110000000.0,76482461.0,2004.0,1.78,76.0,13607.0,110000000.0,5.4
774,6915241.0,2570.0,22000000.0,51695362.0,2013.0,2.35,100.0,39989.0,22000000.0,6.5
775,12856040.0,1942.0,18000000.0,62646763.0,2003.0,1.85,94.0,4868.0,25000000.0,5.3
776,4108630.0,2505.0,30000000.0,23353111.0,2011.0,1.85,86.0,5393.0,30000000.0,4.8
777,16879402.0,2394.0,17500000.0,109843390.0,2005.0,1.85,80.0,14385.0,17500000.0,6.5
778,3368197.0,3018.0,15000000.0,8224998.0,2006.0,1.85,91.0,10732.0,15000000.0,5.6
779,14210464.0,2367.0,30000000.0,81529000.0,1998.0,1.85,114.0,2860.0,30000000.0,5.9
780,14650121.0,2361.0,30000000.0,133085295.0,2012.0,2.35,100.0,19420.0,30000000.0,6.3
781,37543710.0,3579.0,63000000.0,188657593.0,2011.0,1.85,95.0,2558.0,63000000.0,5.5
782,15457418.0,3375.0,40000000.0,105945357.0,2014.0,2.35,116.0,30571.0,42000000.0,6.3
783,28302165.0,3040.0,35000000.0,212417601.0,2011.0,2.35,106.0,18669.0,35000000.0,6.9
784,10214734.0,2123.0,75000000.0,77636443.0,2005.0,2.35,113.0,103354.0,52000000.0,6.6
785,5848464.0,825.0,16000000.0,81742618.0,2007.0,2.35,121.0,485.0,8000000.0,7.9
786,13942258.0,3003.0,35000000.0,45680201.0,2015.0,2.35,87.0,1679.0,35000000.0,5.1
787,5310711.0,2607.0,25000000.0,14334401.0,2007.0,2.35,88.0,2062.0,60214958.65377698,6.7
788,5963324.0,2880.0,14000000.0,12452601.0,2015.0,1.85,99.0,4702.0,14000000.0,5.1
789,14020502.0,2754.0,36000000.0,65967750.0,2010.0,1.85,101.0,1272.0,36000000.0,6.4
790,17012212.0,3271.0,75000000.0,118230763.0,2009.0,1.85,100.0,5174.0,35000000.0,5.4
791,100091.0,7.0,17500000.0,36521223.0,2004.0,2.35,121.0,4142.0,17500000.0,8.1
792,48464322.0,3754.0,80000000.0,470909901.0,2015.0,1.85,89.0,26839.0,80000000.0,6.7
793,42522194.0,3349.0,85000000.0,378505812.0,2012.0,1.85,91.0,37142.0,85000000.0,7.1
794,397472.0,15.0,12000000.0,92863945.0,2004.0,2.35,119.0,1244.0,100000000.0,7.6
795,45572.0,2.0,16500000.0,16157923.0,2003.0,1.85,126.0,2282.0,15000000.0,7.6
796,15946032.0,2710.0,19000000.0,65090541.0,1999.0,1.37,93.0,2872.0,19000000.0,5.6
797,642156.0,82.0,10100000.0,18726300.0,2010.0,2.1555288461538464,144.0,1121.0,60214958.65377698,5.3
798,7484696.0,2483.0,120000000.0,49628177.0,2010.0,1.85,121.0,993.0,120000000.0,5.3
799,9779850.0,1266.0,12000000.0,31222395.0,2001.0,1.85,93.0,6105.0,12000000.0,6.2
800,3957471.0,1531.0,17000000.0,8607815.0,2007.0,1.85,94.0,760.0,60214958.65377698,3.3
801,11318919.0,1395.0,20000000.0,37672944.0,1998.0,1.85,124.0,1660.0,20000000.0,5.5
802,55082330.0,3127.0,123000000.0,345141403.0,2000.0,1.85,110.0,4146.0,123000000.0,6.0
803,5736692.0,2244.4561008554706,12000000.0,14010363.0,1997.0,1.85,93.0,2939.0,60214958.65377698,5.3
804,18750000.0,3343.0,37000000.0,99595932.0,2016.0,2.35,110.0,4882.0,38000000.0,6.1
805,5809960.0,2319.0,16000000.0,14108518.0,2003.0,1.85,101.0,1882.0,16000000.0,5.7
806,23774850.0,2923.0,50000000.0,178890782.0,2003.0,1.85,116.0,14087.0,50000000.0,6.4
807,1430294.0,1750.0,28000000.0,12031443.0,2008.0,1.85,110.0,858.0,27000000.0,6.5
